   ,VITI,MUAJI,PERSHKRIMI_SEKTORIT,LLOJI_KOMPAN,KOMUNA,PEN_NO,PEN_TYPE_DESC_F,NR_TATIM,NR_GJOBAVE,VLERA
1,2020,12,Ndertimtaria,Individual,DRAGASH,405,Nd.Neni.53(2.1)-Law 03/L-222,3,3,375
2,2017,7,Aktivitetet e tjera sherbyese,Individual,VITI,405,Nd.Neni.53(2.1)-Law 03/L-222,2,2,250
3,2023,7,Aktivitetet e tjera sherbyese,Individual,VUSHTRRI,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,125
4,2022,3,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,FUSHË KOSOVË,422,Nd.Neni.53.6-Law 03/L-222,2,2,1500
5,2021,4,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,DEÇAN,422,Nd.Neni.53.6-Law 03/L-222,3,3,375
6,2018,3,Industria perpunuese,Individual,PRISHTINË,422,Nd.Neni.53.6-Law 03/L-222,3,4,875
7,2020,8,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PEJË,422,Nd.Neni.53.6-Law 03/L-222,5,5,750
8,2017,7,Ndertimtaria,SH.P.K.,PEJË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,2,250
9,2021,6,Person Fizik,Person fizik,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,2,2,500
10,2023,2,Industria perpunuese,Individual,PEJË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
11,2021,10,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,VUSHTRRI,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
12,2021,8,Person Fizik,Person fizik,PRISHTINË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
13,2019,2,"Artet, Argetimi dhe rekreacioni",SH.P.K.,PRISHTINË,440,Nd.Neni.77(1.9)-Law 04/L-080,4,7,14000
14,2019,4,Industria perpunuese,SH.P.K.,PODUJEVË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
15,2022,5,"Artet, Argetimi dhe rekreacioni",Individual,PRISHTINË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
